autores,year,journal,doi,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node
efrony_et_al,2007,coral_reefs,,white_plague,vibrio,disease_control,pocillopora,northern_and_central_red_sea,thalassomonas_loyana,,,,,,,,,,,,,,
efrony_et_al,2009,current_microbiology,,white_plague,disease_control,thalassomonas_loyana,northern_and_central_red_sea,favia,,,,,,,,,,,,,,,
ellner_et_al,2007,the_american_naturalist,,multifocal_purple_spots,gorgonia,aspergillus,mathematical_model,pathogen_infection,immune_response,,,,,,,,,,,,,,
erni_cassola_et_al,2016,marine_pollution_bulletin,,soft_coral_tissue_loss,phyllogorgia,southeastern_brazil,prevalence/incidence,baseline,,,,,,,,,,,,,,,
feingold,1988,proceedings_6th_icrs,,cyanobacterial_infection,pseudopterogorgia,floridian,prevalence/incidence,,,,,,,,,,,,,,,,
ferrer_et_al,2016,revista_de_investigaciones_marinas,,multiple_diseases,multiple_genera,greater_antilles,baseline,,,,,,,,,,,,,,,,
fine_et_al,2006,coral_reefs,,central_southern_great_barrier_reef,white_syndrome,acropora,endolithic_organisms,,,,,,,,,,,,,,,,
flynn_&_weil,2009,caribbean_journal_of_science,,aspergillosis,gorgonia,greater_antilles,temporal_pattern,spatial_patterns,depth,season_effect,sewage/nutrients,,,,,,,,,,,,
foley_et_al,2005,hydrobiologia,,yellow_band_disease,spatial_patterns,orbicella,western_caribbean,,,,,,,,,,,,,,,,
francini-filho_et_al,2008,marine_pollution_bulletin,,multiple_diseases,eastern_brazil,sign_description,prevalence/incidence,,,,,,,,,,,,,,,,
francini-filho_et_al,2010,latin_american_journal_of_aquatic_research,,mussismilia,white_syndrome,eastern_brazil,temperature,prevalence/incidence,,,,,,,,,,,,,,,
frias-lopez_et_al,2002,applied_and_environmental_microbiology,,black_band_disease,bacterial_assemblage,southern_caribbean,sewage/nutrients,orbicella,montastraea,diploria,,,,,,,,,,,,,
frias-lopez_et_al,2003,applied_and_environmental_microbiology,,black_band_disease,cyanobacterial_assemblage,southern_caribbean,bismarck_sea,pseudodiploria,montastraea,orbicella,porites,,,,,,,,,,,,
frias-lopez_et_al,2004,applied_and_environmental_microbiology,,black_band_disease,bacterial_assemblage,southern_caribbean,orbicella,pseudodiploria,porites,bismarck_sea,,,,,,,,,,,,,
frias-lopez_et_al,2004,applied_and_environmental_microbiology,,black_band_disease,southern_caribbean,pseudodiploria,gene_expression,bacterial_assemblage,,,,,,,,,,,,,,,
frydenborg,2013,microbial_ecology,,temperature,commensal_bacteria,vibrio,floridian,acropora,,,,,,,,,,,,,,,
gantar_et_al,2009,microbial_ecology,,black_band_disease,pathogen_metabolites,floridian,dendrogyra,orbicella,montastraea,bahamian,eastern_philippines,,,,,,,,,,,,
gantar_et_al,2011,marine_drugs,,black_band_disease,cyanobacterial_assemblage,pathogen_metabolites,bahamian,floridian,eastern_philippines,orbicella,colpophyllia,,,,,,,,,,,,
garcia_et_al,2002,interciencia,,multiple_diseases,southern_caribbean,multiple_genera,prevalence/incidence,population_structure,,,,,,,,,,,,,,,
garcia_et_al,2003,revista_de_biologia_tropica,,multiple_diseases,prevalence/incidence,southern_caribbean,multiple_genera,,,,,,,,,,,,,,,,
garcia_et_al,2004,interciencia,,yellow_band_disease,pathogen_characterization,southern_caribbean,bacterial_assemblage,orbicella,,,,,,,,,,,,,,,
garcia_et_al,2013,microbial_ecology,,white_plague,eastern_brazil,microbial_assemblage,mussismilia,,,,,,,,,,,,,,,,
garren_et_al,2014,the_isme_journal,,vibrio,pocillopora,acropora,central_southern_great_barrier_reef,pathogen_infection,,,,,,,,,,,,,,,
garren_et_al,2015,the_isme_journal,,vibrio,pocillopora,temperature,pathogen_infection,central_southern_great_barrier_reef,,,,,,,,,,,,,,,
garret_&_ducklow,1975,nature,,black_band_disease,bermuda,diploria,pseudodiploria,sign_description,,,,,,,,,,,,,,,
garzon-fereira_&_pinzon,1999,boletin_de_investigaciones_marinas_&_costeras,,multiple_diseases,multiple_genera,panama_bight,coral_mortality,prevalence/incidence,,,,,,,,,,,,,,,
garzon-ferreira_et_al,2001,hydrobiologia,,multiple_diseases,multiple_genera,southwestern_caribbean,prevalence/incidence,,,,,,,,,,,,,,,,
garzón-ferreira_et_al,2005,bulletin_of_marine_science,,multiple_diseases,multiple_genera,coral_mortality,prevalence/incidence,southwestern_caribbean,,,,,,,,,,,,,,,
gateño_et_al,2003,marine_ecology_progress_series,,growth_anomalies,pavona,nicoya,prevalence/incidence,spatial_patterns,advance_rate,transmission,sign_description,,,,,,,,,,,,
geiser_et_al,1998,nature,,aspergillosis,aspergillus,gorgonia,eastern_caribbean,guianan,floridian,bahamian,transmission,pathogen_characterization,,,,,,,,,,,
gignoux-wolfsohn_&_vollmer,2015,plos_one,10.1371/journal.pone.0134416,white_band_disease,bacterial_assemblage,acropora,southwestern_caribbean,,,,,,,,,,,,,,,,
gignoux-wolfsohn_et_al,2012,scientific_reports,,white_band_disease,acropora,transmission,southwestern_caribbean,snail_predation,,,,,,,,,,,,,,,
gil-agudelo_et_al,2001,bulletin_of_marine_science,,dark_spot_disease,prevalence/incidence,spatial_patterns,season_effect,multiple_genera,southwestern_caribbean,,,,,,,,,,,,,,
gil-agudelo_et_al,2006,revista_de_biología_tropical,,white_band_disease,koch's_postulates,acropora,greater_antilles,transmission,,,,,,,,,,,,,,,
gil-agudelo_et_al,2007,canadian_journal_of_microbiology,,dark_spot_disease,bacterial_assemblage,southwestern_caribbean,greater_antilles,orbicella,siderastrea,,,,,,,,,,,,,,
gil-agudelo_et_al,2009,boletin_de_investigaciones_marinas_&_costeras,,multiple_diseases,multiple_genera,reviews,,,,,,,,,,,,,,,,,
gladfelter,1982,bulletin_of_marine_science,,white_band_disease,acropora,eastern_caribbean,advance_rate,prevalence/incidence,,,,,,,,,,,,,,,
glas_et_al,2010,fems_microbiology_ecology,,black_band_disease,pathogen_metabolites,central_southern_great_barrier_reef,montipora,,,,,,,,,,,,,,,,
glas_et_al,2012,the_isme_journal,,black_band_disease,ph,montipora,central_southern_great_barrier_reef,chemical_microenvironment,,,,,,,,,,,,,,,
gochfeld_&_aeby,2008,marine_ecology_progress_series,,immune_response,montipora,porites,pocillopora,hawaii,white_syndrome,pathogen_metabolites,,,,,,,,,,,,,
gochfeld_et_al,2006,diseases_of_aquatic_organisms,,dark_spot_disease,temporal_pattern,spatial_patterns,bahamian,siderastrea,,,,,,,,,,,,,,,
gochfeld_et_al,2011,aaus 30th symposium proceedings,,pocillopora,porites,montipora,hawaii,immune_response,prevalence/incidence,,,,,,,,,,,,,,
gochfeld_et_al,2015,diseases_of_aquatic_organisms,,soft_coral_tissue_loss,sinularia,protein_expression,mariana_islands,,,,,,,,,,,,,,,,
godwin_et_al,2012,plos_one,,white_syndrome,turbinaria,bacterial_assemblage,tweed_moreton,transmission,,,,,,,,,,,,,,,
goldberg_&_makemson,1981,proceedings_4_icrs,,algal_tumors,pseudoplexaura,floridian,spatial_patterns,sign_description,pathogen_characterization,,,,,,,,,,,,,,
goldberg_et_al,1984,biological_bulletin,,algal_tumors,pseudoplexaura,entocladia,pathogen_characterization,sign_description,floridian,,,,,,,,,,,,,,
goreau_et_al,1998,revista_de_biologia_tropical,,multiple_diseases,spatial_patterns,temporal_pattern,reviews,,,,,,,,,,,,,,,,
green_&_bruckner,2000,biological_conservation,,reviews,multiple_diseases,spatial_patterns,host_range,prevalence/incidence,coral_mortality,,,,,,,,,,,,,,
grosholz,1997,proceedings_8_icrs,,black_band_disease,western_caribbean,orbicella,pseudodiploria,spatial_patterns,transmission,,,,,,,,,,,,,,
guerra_et_al,2014,diseases_of_aquatic_organisms,,yellow_band_disease,tissue_chemical_composition,orbicella,southern_caribbean,,,,,,,,,,,,,,,,
haapkyla_et_al,2007,journal_of_the_marine_biological_association_of_the_uk,,prevalence/incidence,multiple_diseases,sulawesi_sea/makassar_strait,multiple_genera,baseline,,,,,,,,,,,,,,,
haapkyla_et_al,2010,coral_reefs,,multiple_diseases,temporal_pattern,central_southern_great_barrier_reef,prevalence/incidence,multiple_genera,,,,,,,,,,,,,,,
haapkyla_et_al,2011,plos_one,,montipora,white_syndrome,central_southern_great_barrier_reef,season_effect,salinity,temperature,sedimentation/turbidity,sewage/nutrients,homeostatic_response,,,,,,,,,,,
haapkyla_et_al,2013,coral_reefs,,central_southern_great_barrier_reef,multiple_diseases,bleaching_association,montipora,white_syndrome,hurricane,temporal_pattern,spatial_patterns,,,,,,,,,,,,
hall-spencer_et_al,2007,diseases_of_aquatic_organisms,,soft_coral_tissue_loss,eunicea,microbial_assemblage,celtic_seas,sign_description,prevalence/incidence,outbreak,transmission,,,,,,,,,,,,
harding_et_al,2008,proceedings_8_icrs,,multiple_diseases,prevalence/incidence,multiple_genera,southern_caribbean,,,,,,,,,,,,,,,,
harvell_et_al,2001,hydrobiologia,,bleaching_association,soft_coral_tissue_loss,briaerum,transmission,floridian,pathogen_characterization,temperature,,,,,,,,,,,,,
hauff_et_al,2014,diseases_of_aquatic_organisms,10.3354/dao02802,yellow_band_disease,vibrio,temperature,homeostatic_response,zooxanthellae_damage,,,,,,,,,,,,,,,
hayes_&_goreau,1998,revista_de_biología_tropical,,reviews,multiple_diseases,immune_response,,,,,,,,,,,,,,,,,
hein_et_al,2015,marine_environmental_research,,multiple_diseases,mpa,gulf_of_thailand,multiple_genera,prevalence/incidence,baseline,,,,,,,,,,,,,,
heintz_et_al,2015,diseases_of_aquatic_organisms,,multiple_diseases,new_caledonia,urban_industrial_impact,multiple_genera,sedimentation/turbidity,prevalence/incidence,,,,,,,,,,,,,,
heron_et_al,2010,plosone,,white_syndrome,temperature,torres_strait_northern_great_barrier_reef,central_southern_great_barrier_reef,season_effect,,,,,,,,,,,,,,,
heron_et_al,2012,proceedings_12_icrs,,reviews,multiple_genera,multiple_diseases,,,,,,,,,,,,,,,,,
hobbs_&_frisch,2010,diseases_of_aquatic_organisms,,white_syndrome,acropora,prevalence/incidence,spatial_patterns,cocos_keeling/christmas_island,,,,,,,,,,,,,,,
hobbs_et_al,2015,plos_one,,white_syndrome,acropora,outbreak,cocos_keeling/christmas_island,coral_mortality,spatial_patterns,depth,,,,,,,,,,,,,
hudson,2000,aaus_20th_symposium_proceedings,,black_band_disease,floridian,disease_control,,,,,,,,,,,,,,,,,
hussain_et_al,2016,diseases_of_aquatic_organisms,,growth_anomalies,turbinaria,prevalence/incidence,spatial_patterns,sign_description,western_india,,,,,,,,,,,,,,
irikawa_et_al,2011,marine_pollution_bulletin,,growth_anomalies,acropora,prevalence/incidence,population_structure,coral_fecundity,zooxanthellae_photosynthetic_performance,south_kuroshio,colony_growth,coral_mortality,,,,,,,,,,,
israely_et_al,2001,aquatic_microbiology,,bacterial_bleaching,vibrio,season_effect,oculina,levantine_sea,pathogen_infection,temperature,,,,,,,,,,,,,
jacobson,2012,proceedings_12_icrs,,white_syndrome,marshall_islands,hydnophora,platygyra,favia,pavona,spatial_patterns,sewage/nutrients,,,,,,,,,,,,
johan_et_al,2015,hayati_journal_of_biosciences,,black_band_disease,white_syndrome,southern_java,spatial_patterns,temporal_pattern,prevalence/incidence,sewage/nutrients,multiple_genera,,,,,,,,,,,,
johan_et_al,2012,journal_of_indonesia_coral_reefs,,black_band_disease,southern_java,spatial_patterns,prevalence/incidence,multiple_genera,,,,,,,,,,,,,,,
johan_et_al,2016,diversity,,black_band_disease,southern_java,prevalence/incidence,spatial_patterns,temporal_pattern,temperature,light,,,,,,,,,,,,,
jones_et_al,2004,marine_ecology_progress_series,,prevalence/incidence,spatial_patterns,temporal_pattern,outbreak,multiple_diseases,microbial_assemblage,central_southern_great_barrier_reef,montipora,,,,,,,,,,,,
jones_et_al,2012,marine_ecology_progress_series,,black_band_disease,prevalence/incidence,bermuda,spatial_patterns,temporal_pattern,sewage/nutrients,,,,,,,,,,,,,,
jordan-dahlgren_et_al,2005,diseases_of_aquatic_organisms,,spatial_patterns,temporal_pattern,coral_mortality,multiple_diseases,orbicella,western_caribbean,southern_gulf_of_mexico,prevalence/incidence,urban_industrial_impact,,,,,,,,,,,
jordan-garza_&_jordan-dahlgren,2011,diseases_of_aquatic_organisms,,yellow_band_disease,transmission,fish_predation,mechanical_injury,orbicella,western_caribbean,,,,,,,,,,,,,,
jordan-garza_et_al,2011,proceedings_of_the_national_academy_of_sciences_of_the_united_states_of_america,,mathematical_model,white_plague,population_structure,,,,,,,,,,,,,,,,,
jothi_r_et_al,2013,asian_journal_of_marine_sciences,,white_pox,acropora,microbial_assemblage,south_india_and_sri_lanka,,,,,,,,,,,,,,,,
joyner_et_al,2015,applied_and_environmental_microbiology,,white_pox,floridian,serratia_marcescens,acropora,prevalence/incidence,temporal_pattern,spatial_patterns,,,,,,,,,,,,,
kaczmarsky,2006,diseases_of_aquatic_organisms,,multiple_diseases,prevalence/incidence,baseline,temporal_pattern,eastern_philippines,palawan/north_borneo,urban_industrial_impact,,,,,,,,,,,,,
kaczmarsky_&_richardson,2007,journal_of_invertebrate_pathology,,growth_anomalies,porites,transmission,eastern_philippines,,,,,,,,,,,,,,,,
kaczmarsky_&_richardson,2011,coral_reefs,,sewage/nutrients,eastern_philippines,multiple_diseases,prevalence/incidence,multiple_genera,,,,,,,,,,,,,,,
kaczmarsky_et_al,2005,caribbean_journal_of_science,,sewage/nutrients,multiple_diseases,prevalence/incidence,eastern_caribbean,multiple_genera,,,,,,,,,,,,,,,
katz_et_al,2014,coral_reefs,,brown_band_syndrome,ciliate_assemblage,acropora,torres_strait_northern_great_barrier_reef,starfish_predation,mechanical_injury,,,,,,,,,,,,,,
kavousi_&_rezai,2011,galaxea_journal_of_coral_reefs_studies,,multiple_diseases,multiple_genera,persian_gulf,sign_description,,,,,,,,,,,,,,,,
kavousi_et_al,2013,international_journal_of_marina_science,,white_syndrome,outbreak,porites,persian_gulf,,,,,,,,,,,,,,,,
kellog_et_al,2014,plosone,,dark_spot_disease,bacterial_assemblage,siderastrea,floridian,eastern_caribbean,spatial_patterns,,,,,,,,,,,,,,
kellog_et_al,2013,plos_one,,white_plague,aurantimonas_coralicida,orbicella,eastern_caribbean,floridian,bacterial_assemblage,,,,,,,,,,,,,,
kelly_et_al,2016,frontiers_in_marine_science,,growth_anomalies,prevalence/incidence,temporal_pattern,spatial_patterns,coral_fecundity,colony_growth,sign_description,immune_response,central_southern_great_barrier_reef,acropora,,,,,,,,,,
kim_&_harvell,2004,the_american_naturalist,,temporal_pattern,floridian,aspergillosis,prevalence/incidence,gorgonia,,,,,,,,,,,,,,,
kim_et_al,2000,marine_biology,,aspergillosis,gorgonia,immune_response,bahamian,floridian,,,,,,,,,,,,,,,
kimes_et_al,2010,environmental_microbiology,,yellow_band_disease,bacterial_assemblage,gene_expression,archaeal_assemblage,fungal_assemblage,orbicella,greater_antilles,,,,,,,,,,,,,
kimes_et_al,2013,environmental_microbiology,,yellow_band_disease,bacterial_assemblage,archaeal_assemblage,zooxanthellae_assemblage,season_effect,greater_antilles,orbicella,,,,,,,,,,,,,
kirk_et_al,2005,the_biological_bulletin,,multifocal_purple_spots,gorgonia,zooxanthellae_assemblage,bleaching_association,temperature,floridian,,,,,,,,,,,,,,
kiryu_et_al,2015,journal_of_invertebrate_pathology,,cyanobacterial_infection,gorgonia,icilogorgia,sign_description,floridian,,,,,,,,,,,,,,,
klaus_et_al,2011,bulletin_of_marine_science,,black_band_disease,gorgonia,microbial_assemblage,southern_caribbean,,,,,,,,,,,,,,,,
kline_&_vollmer,2011,scientific_reports,,white_band_disease,transmission,pathogen_characterization,southwestern_caribbean,acropora,,,,,,,,,,,,,,,
koh_et_al,2000,proceedings_9_icrs,,multiple_diseases,malacca_strait,multiple_genera,fungal_assemblage,pathogen_characterization,,,,,,,,,,,,,,,
korrubel_et_al,1998,coral_reefs,,yellow_band_disease,sign_description,acropora,cyphastrea,turbinaria,persian_gulf,,,,,,,,,,,,,,
kramarsky-winter_et_al,2014,microbial_ecology,,black_band_disease,favia,northern_and_central_red_sea,cyanobacterial_assemblage,sign_description,,,,,,,,,,,,,,,
krediet_et_al,2009,diseases_of_aquatic_organisms,,white_pox,pathogen_characterization,floridian,acropora,bacterial_assemblage,,,,,,,,,,,,,,,
krediet_et_al,2009,applied_and_environmental_microbiology,,white_pox,serratia_marcescens,floridian,acropora,bacterial_assemblage,pathogen_characterization,,,,,,,,,,,,,,
krediet_et_al,2013,proceedings_of_the_royal_society_b,,reviews,microbial_assemblage,immune_response,disease_control,functional_structure,,,,,,,,,,,,,,,
krediet_et_al,2013,the_isme_journal,,serratia_marcescens,commensal_bacteria,acropora,floridian,,,,,,,,,,,,,,,,
krediet_et_al,2013,fems_microbiology_ecology,,white_pox,serratia_marcescens,floridian,pathogen_infection,,,,,,,,,,,,,,,,
kuehl_et_al,2011,journal_of_invertebrate_pathology,,black_band_disease,pseudodiploria,diploria,light,temperature,advance_rate,bermuda,,,,,,,,,,,,,
kuntz_et_al,2005,marine_ecology_progress_series,,orbicella,agaricia,porites,sewage/nutrients,multiple_diseases,southwestern_caribbean,,,,,,,,,,,,,,
kushmaro_et_al,1997,marine_ecology_progress_series,,bacterial_bleaching,oculina,vibrio,levantine_sea,transmission,pathogen_characterization,,,,,,,,,,,,,,
kushmaro_et_al,1998,marine_ecology_progress_series,,bacterial_bleaching,oculina,vibrio,levantine_sea,temperature,,,,,,,,,,,,,,,
kushmaro_et_al,2001,international_journal_of_systematic_and_evolutionary_microbiology,,bacterial_bleaching,vibrio,oculina,levantine_sea,pathogen_characterization,,,,,,,,,,,,,,,
kushmaro_et_al,1996,nature,,bacterial_bleaching,oculina,transmission,levantine_sea,vibrio,pathogen_characterization,,,,,,,,,,,,,,
kuta_&_richardson,1996,coral_reefs,,black_band_disease,prevalence/incidence,spatial_patterns,temporal_pattern,season_effect,floridian,multiple_genera,,,,,,,,,,,,,
kuta_&_richardson,1997,proceedings_8_icrs,,black_band_disease,temporal_pattern,floridian,multiple_genera,coral_mortality,,,,,,,,,,,,,,,
kuta_&_richardson,2002,coral_reefs,,black_band_disease,multiple_genera,floridian,prevalence/incidence,salinity,depth,temperature,sewage/nutrients,sedimentation/turbidity,coral_diversity,coral_cover,,,,,,,,,
kvennefors_et_al,2010,plos_one,,white_syndrome,acropora,stylophora,central_southern_great_barrier_reef,bacterial_assemblage,,,,,,,,,,,,,,,
lamb_&_willis,2011,convervation_biology,,multiple_diseases,prevalence/incidence,tourism_impact,coral_sea,multiple_genera,,,,,,,,,,,,,,,
lamb_et_al,2014,biological_conservation,,tourism_impact,prevalence/incidence,multiple_diseases,gulf_of_thailand,,,,,,,,,,,,,,,,
lamb_et_al,2015,ecology,,multiple_diseases,mpa,central_southern_great_barrier_reef,multiple_genera,,,,,,,,,,,,,,,,
lamb_et_al,2017,science,10.1126/science.aal1956,multiple_diseases,multiple_genera,seagrasses_association,sulawesi_sea/makassar_strait,,,,,,,,,,,,,,,,
lawrence_et_al,2014,coral_reefs,10.1007/s00338-014-1168-8,white_syndrome,porites,hawaii,viral_assemblage,,,,,,,,,,,,,,,,
lawrence_et_al,2015,coral_reefs,,white_syndrome,zooxanthellae_photosynthetic_performance,viral_assemblage,porites,central_southern_great_barrier_reef,,,,,,,,,,,,,,,
lentz_et_al,2011,plos_one,,white_band_disease,spatial_patterns,acropora,eastern_caribbean,outbreak,,,,,,,,,,,,,,,
lesser_&_jarett,2014,fems_microbiology_ecology,,acropora,white_pox,bahamian,bacterial_assemblage,sewage/nutrients,serratia_marcescens,,,,,,,,,,,,,,
lesser_et_al,2007,journal_of_experimental_marine_biology_and_ecology,,multiple_diseases,reviews,multiple_genera,,,,,,,,,,,,,,,,,
lewis_et_al,2017,coral_reefs,10.1007/s00338-017-1545-1,black_band_disease,dendrogyra,prevalence/incidence,floridian,temperature,bleaching_association,,,,,,,,,,,,,,
libro_&_vollmer,2016,plos_one,,white_band_disease,acropora,southwestern_caribbean,immune_response,,,,,,,,,,,,,,,,
libro_et_al,2013,plos_one,,white_band_disease,immune_response,acropora,southwestern_caribbean,,,,,,,,,,,,,,,,
lindop_et_al,2008,proceedings_11_icrs,,detection/diagnostic,multiple_diseases,sign_description,multiple_genera,research_framework,,,,,,,,,,,,,,,
littler_&_littler,1996,coral_reefs,,black_band_disease,multiple_genera,fiji_islands,outbreak,sedimentation/turbidity,,,,,,,,,,,,,,,
lobban_et_al,2011,journal_of_eukariotic_microbiology,,brown_band_syndrome,pathogen_characterization,mariana_islands,acropora,porpostoma_guamensis,,,,,,,,,,,,,,,
looney_et_al,2010,environmental_microbiology,10.1111/j.1462-2920.2010.02221.x,white_pox,serratia_marcescens,sewage/nutrients,acropora,siderastrea,orbicella,floridian,temperature,,,,,,,,,,,,
loya_et_al,1984,helgolander_meeresuntersuchungen,,growth_anomalies,platygyra,central_southern_great_barrier_reef,prevalence/incidence,,,,,,,,,,,,,,,,
lozada-misa_et_al,2015,plos_one,,white_syndrome,porites,colony_growth,colony_morphology,mariana_islands,,,,,,,,,,,,,,,
luna_et_al,2010,environmental_microbiology_reports,,white_syndrome,vibrio,koch's_postulates,multiple_genera,sulawesi_sea/makassar_strait,,,,,,,,,,,,,,,
luna_et_al,2007,environmental_microbiology,,white_syndrome,pocillopora,sign_description,microbial_assemblage,aquaria,,,,,,,,,,,,,,,
luthfi,2015,umm international conference on pure and applied research,,multiple_diseases,multiple_genera,prevalence/incidence,southern_java,,,,,,,,,,,,,,,,
mallela_&_parkinson,2008,coral_reefs,,yellow_band_disease,black_band_disease,southwestern_caribbean,orbicella,temporal_pattern,,,,,,,,,,,,,,,
mallela_et_al,2010,caribbean_journal_of_science,,yellow_band_disease,prevalence/incidence,southern_caribbean,multiple_genera,,,,,,,,,,,,,,,,
manikandan_et_al,2016,regional_studies_in_marine_science,,multiple_diseases,multiple_genera,western_india,prevalence/incidence,depth,,,,,,,,,,,,,,,
mao-jones_et_al,2010,plos_biology,,mathematical_model,temperature,microbial_assemblage,vibrio,microbial_interactions,floridian,,,,,,,,,,,,,,
maynard_et_al,2011,coral_reefs,,white_syndrome,outbreak,multiple_genera,torres_strait_northern_great_barrier_reef,central_southern_great_barrier_reef,mathematical_model,,,,,,,,,,,,,,
maynard_et_al,2015,nature_climate_change,,mathematical_model,climate_change,temperature,multiple_diseases,,,,,,,,,,,,,,,,
mayor_&_rogers,2006,coral_reefs,,white_band_disease,prevalence/incidence,eastern_caribbean,acropora,,,,,,,,,,,,,,,,
mcclanahan_et_al,2004,hydrobiologia,,east_african_coral_coast,multiple_diseases,multiple_genera,outbreak,,,,,,,,,,,,,,,,
mcclanahan_et_al,2009,global_change_biology,,growth_anomalies,porites,east_african_coral_coast,prevalence/incidence,sewage/nutrients,bleaching_association,temperature,benthic_assemblage,sign_description,,,,,,,,,,,
meron_et_al,2009,applied_and_environmental_microbiology,,bacterial_bleaching,vibrio,pathogen_infection,northern_and_central_red_sea,,,,,,,,,,,,,,,,
meyer_et_al,2014,plosone,,porites_apical_lesion,microbial_assemblage,porites,western_caribbean,,,,,,,,,,,,,,,,
meyer_et_al,2016,the_isme_journal,,black_band_disease,microbial_assemblage,pathogen_metabolites,quorum_sensing,floridian,western_caribbean,montastraea,orbicella,pseudodiploria,,,,,,,,,,,
miller_&_richardson,2015,marine_ecology,10.1111/maec.12142,black_band_disease,reviews,climate_change,,,,,,,,,,,,,,,,,
miller_&_williams,2007,coral_reefs,,greater_antilles,prevalence/incidence,multiple_diseases,sign_description,multiple_genera,,,,,,,,,,,,,,,
miller_et_al,2003,revista_de_biología_tropical,,white_plague,coral_mortality,orbicella,prevalence/incidence,eastern_caribbean,,,,,,,,,,,,,,,
miller_et_al,2006,coral_reefs,,white_plague,eastern_caribbean,prevalence/incidence,multiple_genera,bleaching_association,,,,,,,,,,,,,,,
miller_et_al,2008,proceedings_11_icrs,,multiple_diseases,torres_strait_northern_great_barrier_reef,central_southern_great_barrier_reef,temporal_pattern,snail_predation,,,,,,,,,,,,,,,
miller_et_al,2009,coral_reefs,,bleaching_association,eastern_caribbean,outbreak,multiple_diseases,multiple_genera,,,,,,,,,,,,,,,
miller_et_al,2011,fems_microbiology_ecology,,black_band_disease,microbial_assemblage,multiple_genera,meta-analysis,,,,,,,,,,,,,,,,
miller_et_al,2011,diseases_of_aquatic_organisms,,black_band_disease,sign_description,orbicella,floridian,bahamian,,,,,,,,,,,,,,,
miller_et_al,2012,journal_of_invertebrate_pathology,10.1016/j.jip.2011.09.007,black_band_disease,pathogen_metabolites,sign_description,floridian,orbicella,bahamian,chemical_microenvironment,transmission,,,,,,,,,,,,
miller_et_al,2014,peerj,,colony_transplantation,disease_control,prevalence/incidence,temporal_pattern,acropora,multiple_diseases,floridian,,,,,,,,,,,,,
miller_et_al,2015,peerj,,multiple_diseases,baseline,palawan/north_borneo,multiple_genera,,,,,,,,,,,,,,,,
mills_et_al,2013,marine_ecology_progress_series,,bacterial_bleaching,vibrio,oculina,temperature,commensal_bacteria,levantine_sea,,,,,,,,,,,,,,
montano_et_al,2012,diseases_of_aquatic_organisms,,maldives,prevalence/incidence,multiple_diseases,multiple_genera,baseline,,,,,,,,,,,,,,,
montano_et_al,2013,diseases_of_aquatic_organisms,,black_band_disease,maldives,spatial_patterns,prevalence/incidence,multiple_genera,depth,host_range,,,,,,,,,,,,,
montano_et_al,2016,biodiversity_and_conservation,,brown_band_syndrome,skeletal_eroding_band,spatial_patterns,depth,prevalence/incidence,maldives,temporal_pattern,multiple_genera,,,,,,,,,,,,
montano_et_al,2015,marine_and_freshwater_research,,multiple_diseases,prevalence/incidence,host_range,spatial_patterns,maldives,depth,acropora,,,,,,,,,,,,,
montano_et_al,2015,marine_biodiversity,,black_band_disease,goniopora,maldives,advance_rate,,,,,,,,,,,,,,,,
montilla_et_al,2016,diseases_of_aquatic_organisms,,yellow_band_disease,orbicella,southern_caribbean,immune_response,environmental_xenobiotic,,,,,,,,,,,,,,,
morgan_et_al,2015,peerj,,yellow_band_disease,orbicella,gene_expression,greater_antilles,detection/diagnostic,,,,,,,,,,,,,,,
morse_et_al,1981,bulletin_of_marine_science,,algal_tumors,gorgonia,southern_caribbean,pathogen_characterization,prevalence/incidence,spatial_patterns,,,,,,,,,,,,,,
morse_et_al,1977,proceedings_3_icrs,,algal_tumors,gorgonia,southern_caribbean,guianan,sign_description,,,,,,,,,,,,,,,
mouchka_et_al,2010,integrative_and_comparative_biology,,bacterial_assemblage,functional_structure,multiple_diseases,multiple_genera,climate_change,meta-analysis,,,,,,,,,,,,,,
mullen_et_al,2006,marine_biology,,aspergillosis,gorgonia,western_caribbean,prevalence/incidence,population_structure,immune_response,population_structure,,,,,,,,,,,,,
muller_&_van_woesik,2009,coral_reefs,,white_plague,light,advance_rate,colpophyllia,eastern_caribbean,,,,,,,,,,,,,,,
muller_&_van_woesik,2011,journal_of_experimental_marine_biology_and_ecology,,black_band_disease,light,temperature,eastern_caribbean,pseudodiploria,zooxanthellae_photosynthetic_performance,,,,,,,,,,,,,,
muller_&_van_woesik,2012,global_change_biology,,yellow_band_disease,dark_spot_disease,white_plague,spatial_patterns,multiple_genera,eastern_caribbean,greater_antilles,,,,,,,,,,,,,
muller_&_van_woesik,2014,plos_one,10.1371/journal.pone.0110759,white_pox,acropora,eastern_caribbean,transmission,population_structure,mathematical_model,spatial_patterns,temporal_pattern,,,,,,,,,,,,
muller_et_al,2008,coral_reefs,,bleaching_association,acropora,eastern_caribbean,temperature,multiple_diseases,prevalence/incidence,,,,,,,,,,,,,,
muller_et_al,2012,journal_of_indonesia_coral_reefs,,multiple_diseases,baseline,palawan/north_borneo,multiple_genera,,,,,,,,,,,,,,,,
munn,2015,microbiology_spectrum,,multiple_diseases,vibrio,reviews,,,,,,,,,,,,,,,,,
